"Autauga County, Alabama","54,571"
"Baldwin County, Alabama","182,265"
"Barbour County, Alabama","27,457"
"Bibb County, Alabama","22,915"
"Blount County, Alabama","57,322"
"Bullock County, Alabama","10,914"
"Butler County, Alabama","20,947"
"Calhoun County, Alabama","118,572"
"Chambers County, Alabama","34,215"
"Cherokee County, Alabama","25,989"
"Chilton County, Alabama","43,643"
"Choctaw County, Alabama","13,859"
"Clarke County, Alabama","25,833"
"Clay County, Alabama","13,932"
"Cleburne County, Alabama","14,972"
"Coffee County, Alabama","49,948"
"Colbert County, Alabama","54,428"
"Conecuh County, Alabama","13,228"
"Coosa County, Alabama","11,539"
"Covington County, Alabama","37,765"
"Crenshaw County, Alabama","13,906"
"Cullman County, Alabama","80,406"
"Dale County, Alabama","50,251"
"Dallas County, Alabama","43,820"
"DeKalb County, Alabama","71,109"
"Elmore County, Alabama","79,303"
"Escambia County, Alabama","38,319"
"Etowah County, Alabama","104,430"
"Fayette County, Alabama","17,241"
"Franklin County, Alabama","31,704"
"Geneva County, Alabama","26,790"
"Greene County, Alabama","9,045"
"Hale County, Alabama","15,760"
"Henry County, Alabama","17,302"
"Houston County, Alabama","101,547"
"Jackson County, Alabama","53,227"
"Jefferson County, Alabama","658,466"
"Lamar County, Alabama","14,564"
"Lauderdale County, Alabama","92,709"
"Lawrence County, Alabama","34,339"
"Lee County, Alabama","140,247"
"Limestone County, Alabama","82,782"
"Lowndes County, Alabama","11,299"
"Macon County, Alabama","21,452"
"Madison County, Alabama","334,811"
"Marengo County, Alabama","21,027"
"Marion County, Alabama","30,776"
"Marshall County, Alabama","93,019"
"Mobile County, Alabama","412,992"
"Monroe County, Alabama","23,068"
"Montgomery County, Alabama","229,363"
"Morgan County, Alabama","119,490"
"Perry County, Alabama","10,591"
"Pickens County, Alabama","19,746"
"Pike County, Alabama","32,899"
"Randolph County, Alabama","22,913"
"Russell County, Alabama","52,947"
"St. Clair County, Alabama","83,593"
"Shelby County, Alabama","195,085"
"Sumter County, Alabama","13,763"
"Talladega County, Alabama","82,291"
"Tallapoosa County, Alabama","41,616"
"Tuscaloosa County, Alabama","194,656"
"Walker County, Alabama","67,023"
"Washington County, Alabama","17,581"
"Wilcox County, Alabama","11,670"
"Winston County, Alabama","24,484"
"Aleutians East Borough, Alaska","3,141"
"Aleutians West Census Area, Alaska","5,561"
"Anchorage Municipality, Alaska","291,826"
"Bethel Census Area, Alaska","17,013"
"Bristol Bay Borough, Alaska",997
"Denali Borough, Alaska","1,826"
"Dillingham Census Area, Alaska","4,847"
"Fairbanks North Star Borough, Alaska","97,581"
"Haines Borough, Alaska","2,508"
